name_lower,ids,instagram_handles,count
"bar sprezzatura","1136,11445",barsprezzaturanyc,2
barawine,"2322,2455","barawine_harlem,barawine",2
"bathtub gin","2810,11448",bathtubginnyc,2
"bossa nova civic club","10865,11298",bossanovacivicclub,2
"del frisco's double eagle steakhouse","2878,11000",del.friscos,2
"el nico","1898,11507",reel,2
fabrika,"262,10883","FabrikaNY,fabrikaphilly",2
"fogo de chão brazilian steakhouse","3152,11061",fogorestaurant,2
gospel,"10845,11524",gospel.nyc,2
h0l0,"685,11300",h0l0.nyc,2
"house of yes","2836,11296",houseofyesnyc,2
"jupiter disco","10864,11322",jupiterdisco,2
"public records","10868,11733",publicrecordsnyc,2
"rooftop at exchange place","866,3237","rooftopatexchangeplace,cityview_rooftop",2
"the delancey","2674,11304",thedelancey,2
"the newsroom","3108,11684",newsroomny,2
thumkaa,"370,2692","thumkaarestaurant,thumkaa",2
unveiled,"11404,11694",,2
xanadu,"11335,11711",,2
