venue_name,city,neighborhood,event_count,music_genres
"Somewhere Nowhere","New York",,138,
"TAO Group Venue",Manhattan,,99,"Hip-Hop,R&B Soul,Other,EDM,House,Latin,Afrobeats"
"Nebula NYC","New York",,92,
"Bar 13","New York",,39,"Latin,Afrobeats"
"Venue TBA","New York",,31,"Live Music,Hip-Hop,House,EDM,Afrobeats,Reggae"
preferences,"New York",,25,"House,Latin,Live Music,Hip-Hop"
"Treadwell Park","New York",,21,Afrobeats
Elsewhere,"New York",,20,Hip-Hop
"public records","New York",,18,"R&B,House,Hip-Hop,Jazz"
SILO,"New York",,16,"House,R&B,Hip-Hop"
"Superior Ingredients","New York",,16,"House,Hip-Hop,Reggae"
"High Bar New York","New York",,15,"Latin,Afrobeats"
Nexo,"New York",,12,Latin
"San Antonios","New York",,11,Latin
"99 Scott Ave","New York",,9,"House,Hip-Hop"
"Brooklyn Storehouse","New York",,9,House
"Republic Latin Fusion","New York",,9,Latin
"Knockdown Center","New York",,8,"House,Latin"
"Good Room","New York",,7,R&B
Paragon,"New York",,7,"House,Latin"
"Brooklyn Steel","New York",,6,
"Highbar NYC","New York",,6,Latin
"House of Yes","New York",,6,House
Marquee,"New York",,6,EDM
"Bossa Nova Civic Club","New York",,5,House
"Common Ground","New York",,5,"Live Music,House"
H0L0,"New York",,5,House
"Lost in Paradise Rooftop","New York",,5,Latin
"New York NY US","New York",,5,"House,EDM,Hip-Hop,Live Music"
Purgatory,"New York",,5,
Signal,"New York",,5,"House,Hip-Hop,R&B"
"The Delancey","New York",,5,"Hip-Hop,Latin"
"The Sultan Room","New York",,5,"Afrobeats,Latin,House"
"and their tickets will be refunded","New York",,5,"Live Music,House"
"Ace Hotel","New York",,4,"Live Music"
"Ainsworth Midtown","New York",,4,"House,Hip-Hop"
"Location TBA","New York",,4,"Live Music,Afrobeats,Hip-Hop"
Margaritaville,"New York",,4,R&B
Nublu,"New York",,4,"Afrobeats,House"
Refuge,"New York",,4,Hip-Hop
"Virgin Hotels NYC","New York",,4,House
"Amelia's","New York",,3,"House,Hip-Hop"
"American Whiskey","New York",,3,"House,Hip-Hop"
"Apollo Studio","New York",,3,
Chester,"New York",,3,
"Darling Rooftop","New York",,3,House
"Dead Letter No. 9","New York",,3,"Latin,Live Music"
Delancey,"New York",,3,"Live Music,House,EDM"
"HOA (HOME OF ASTORIA)","New York",,3,"Reggae,Hip-Hop,Afrobeats"
"Jupiter Disco","New York",,3,House
"New York City's Johnny Utah's","New York",,3,
Nowadays,"New York",,3,"House,R&B"
"ONE Manhattan","New York",,3,Hip-Hop
"Royalton Park Avenue","New York",,3,House
"So & So's Piano Bar","New York",,3,"Live Music"
"Stone Street Tavern","New York",,3,House
TBA,"New York",,3,
"Taj II","New York",,3,"Live Music,Hip-Hop"
"The DL-NYC","New York",,3,"Latin,House"
"The Meadows","New York",,3,"Hip-Hop,Latin"
"Various Venues","New York",,3,"Hip-Hop,Afrobeats"
