id,business_name,instagram_handle,partner_page_url,outreach_status,city,state,vibe_tags,music_genres,claim_token
985,"AP Rooftop",ap.rooftop,https://lumina.viberyte.com/partner/985,none,"Asbury Park",NJ,,"[""top-40""]",ap-rooftop-3626
989,"Boogie Nights",boogienights_ac,https://lumina.viberyte.com/partner/989,none,"Atlantic City",NJ,,"disco,dance,pop",boogie-nights-3634
199,"Hills of Herat",hillsofherat.br,https://lumina.viberyte.com/partner/199,none,"Basking Ridge",NJ,"[""upscale"",""romantic"",""cozy""]",[],hills-of-herat-1605
228,"American On J",americanonj,https://lumina.viberyte.com/partner/228,none,Bayonne,NJ,"[""vibrant"",""cozy"",""upscale""]","[""live-music"",""pop""]",american-on-j-1982
1035,"The Whiskey Priest",getsaucedelivery,https://lumina.viberyte.com/partner/1035,none,Belleville,NJ,,"[""live-band"",""mixed""]",the-whiskey-priest-3765
56,"Xaman Room Speakeasy",agavemaria.nj,https://lumina.viberyte.com/partner/56,none,Belleville,NJ,"[""intimate"",""trendy"",""exclusive"",""vibrant""]","[""afrobeats"",""hip-hop"",""soca"",""top-40""]",xaman-room-speakeasy-275
1971,"Bloomfield Steak & Seafood House",bloomfieldsteakhouse,https://lumina.viberyte.com/partner/1971,none,Bloomfield,NJ,"[""upscale"", ""date_night""]",,bloomfield-steak-seafood-house-12868
1972,"Manouche & Co Mediterranean & Lebanese Restaurant",manouchenj,https://lumina.viberyte.com/partner/1972,none,Bloomfield,NJ,"[""casual"", ""cultural""]",,manouche-co-mediterranean-leba-12869
1063,"Six Points Pub",sixpointspub,https://lumina.viberyte.com/partner/1063,none,Bloomfield,NJ,"[""vibrant"",""energetic"",""local-favorite""]","[""live-music"",""rock""]",six-points-pub-3843
94,"The Canvas & Grapes Experience",canvasandgrapes,https://lumina.viberyte.com/partner/94,none,Brecksville,NJ,"[""vibrant"",""energetic"",""social""]","[""edm"",""hip-hop"",""latin"",""r&b"",""soca""]",the-canvas-grapes-experience-714
984,"The Bradford Rooftop",thebradfordnj,https://lumina.viberyte.com/partner/984,none,Bridgewater,NJ,,"[""mixed""]",the-bradford-rooftop-3625
792,"420 Bar & Lounge",420barlounge,https://lumina.viberyte.com/partner/792,none,Bronx,NY,"[""vibrant"",""social"",""chill"",""community""]","[""hip-hop"",""afrobeats"",""r&b"",""latin"",""live-band"",""top-40""]",420-bar-lounge-3233
797,"Agua É Coco Bar & Grill",aguaecocobar,https://lumina.viberyte.com/partner/797,none,Bronx,NY,"[""lively"",""vibrant"",""social""]","[""latin"",""reggaeton"",""hip-hop""]",agua-coco-bar-grill-3245
799,"Antonio's Trattoria",antoniostrattoria,https://lumina.viberyte.com/partner/799,none,Bronx,NY,,[],antonio-s-trattoria-3264
791,"Aqua Bar and Grill",aqua_bar_grill,https://lumina.viberyte.com/partner/791,none,Bronx,NY,,"[""latin""]",aqua-bar-and-grill-3225
780,"Billy's Sports Bar",billys_sportsbar,https://lumina.viberyte.com/partner/780,none,Bronx,NY,,"[""hip-hop""]",billy-s-sports-bar-3206
785,"Blackstone Bar & Grill",blackstone_bar,https://lumina.viberyte.com/partner/785,none,Bronx,NY,"[""vibrant"",""energetic"",""social""]","[""hip-hop"",""house""]",blackstone-bar-grill-3217
774,"Boca Restaurant and Lounge",boca_nyc,https://lumina.viberyte.com/partner/774,none,Bronx,NY,,"[""latin"",""reggaeton""]",boca-restaurant-and-lounge-3189
786,"Bridges Bar",bridgesbarbx,https://lumina.viberyte.com/partner/786,none,Bronx,NY,,"[""hip-hop""]",bridges-bar-3218
778,"Bronx Alehouse",bronxalehouse,https://lumina.viberyte.com/partner/778,none,Bronx,NY,"[""cozy"",""vibrant"",""local""]","[""mixed""]",bronx-alehouse-3200
779,"Charlies Bar & Kitchen",charlies_bar_kitchen,https://lumina.viberyte.com/partner/779,none,Bronx,NY,,"[""afrobeats"",""hip-hop"",""r&b"",""house""]",charlies-bar-kitchen-3204
790,"Code Red Restaurant & Lounge",coderedbx,https://lumina.viberyte.com/partner/790,none,Bronx,NY,,"[""afrobeats"",""dancehall"",""edm""]",code-red-restaurant-lounge-3222
811,"Da Franco & Tony Ristorante",dafrancoandtony,https://lumina.viberyte.com/partner/811,none,Bronx,NY,,[],da-franco-tony-ristorante-3280
804,"Dakota's On The Cove",dakotasonthecove,https://lumina.viberyte.com/partner/804,none,Bronx,NY,,[],dakota-s-on-the-cove-3270
813,"Enzo's Of Williamsbridge",enzosofwilliamsbridge,https://lumina.viberyte.com/partner/813,none,Bronx,NY,,[],enzo-s-of-williamsbridge-3282
808,"Fiorentina Steakhouse",fiorentinasteakhouseny,https://lumina.viberyte.com/partner/808,none,Bronx,NY,,[],fiorentina-steakhouse-3276
821,"Flava Of The Bronx",flavabx,https://lumina.viberyte.com/partner/821,none,Bronx,NY,,[],flava-of-the-bronx-3298
812,"Frankie's Restaurant Arthur Avenue",frankiesrestaurant.nyc,https://lumina.viberyte.com/partner/812,none,Bronx,NY,,[],frankie-s-restaurant-arthur-av-3281
817,"Havana Café",bronxhavanacafe,https://lumina.viberyte.com/partner/817,none,Bronx,NY,,"[""latin"",""live-music""]",havana-caf-3290
815,"Home BX Steak",homebxnyc,https://lumina.viberyte.com/partner/815,none,Bronx,NY,,[],home-bx-steak-3285
782,"Howl At The Moon Grill & Bar",howlatthemoon_bx,https://lumina.viberyte.com/partner/782,none,Bronx,NY,,"[""live-band"",""top-40""]",howl-at-the-moon-grill-bar-3211
803,"Hudson Garden Grill",nybg,https://lumina.viberyte.com/partner/803,none,Bronx,NY,,[],hudson-garden-grill-3269
810,"Jake’s Steakhouse",jakessteakhouseeast,https://lumina.viberyte.com/partner/810,none,Bronx,NY,,[],jake-s-steakhouse-3278
819,"Kingsbridge Social Club",kingsbridgesc,https://lumina.viberyte.com/partner/819,none,Bronx,NY,,[],kingsbridge-social-club-3296
796,"Klassique Bar & Restaurant",klassiquerestaurant,https://lumina.viberyte.com/partner/796,none,Bronx,NY,,[],klassique-bar-restaurant-3244
775,"Lotus Hookah Lounge",lotusloungebx,https://lumina.viberyte.com/partner/775,none,Bronx,NY,,"[""afrobeats"",""hip-hop"",""reggaeton"",""house"",""edm""]",lotus-hookah-lounge-3191
789,"Mamajuana Cafe The Bronx",mamajuanabronx,https://lumina.viberyte.com/partner/789,none,Bronx,NY,,"[""afrobeats"",""house""]",mamajuana-cafe-the-bronx-3221
802,"Pine Restaurant",fjpine,https://lumina.viberyte.com/partner/802,none,Bronx,NY,,[],pine-restaurant-3268
822,"Playoffs Sports Lounge",playoffsny,https://lumina.viberyte.com/partner/822,none,Bronx,NY,,"[""hip-hop"",""top-40""]",playoffs-sports-lounge-3300
805,"Porto Salvo",portosalvonyc,https://lumina.viberyte.com/partner/805,none,Bronx,NY,,[],porto-salvo-3271
787,"Que Rico Latin Cuisine",quericolatincuisine,https://lumina.viberyte.com/partner/787,none,Bronx,NY,,"[""hip-hop"",""latin""]",que-rico-latin-cuisine-3219
820,"ROYAL FUSION",royalfusionnyc,https://lumina.viberyte.com/partner/820,none,Bronx,NY,,"[""reggaeton"",""dancehall"",""afrobeats""]",royal-fusion-3297
781,"Rambling House",the_rambling_house,https://lumina.viberyte.com/partner/781,none,Bronx,NY,"[""vibrant"",""lively"",""social""]","[""hip-hop"",""house""]",rambling-house-3209
798,"Sobro Garden",sobrogarden,https://lumina.viberyte.com/partner/798,none,Bronx,NY,"[""vibrant"",""social"",""energetic"",""trendy""]","[""hip-hop"",""afrobeats"",""reggaeton""]",sobro-garden-3250
800,"Suyo Gastrofusion",suyonyc,https://lumina.viberyte.com/partner/800,none,Bronx,NY,,"[""latin"",""hip-hop""]",suyo-gastrofusion-3265
