name,address,city,state,neighborhood,category,google_place_id,phone,website
"Alam Restaurant","Alam, 356 Coventry Rd, Small Heath, Birmingham B10 0XE, UK",Birmingham,AL,"Small Heath",dining,ChIJW180Yee7cEgR72Ggz_PeMj8,,
"Lin's Grand Buffet","3955 E Baseline Rd, Phoenix, AZ 85042, USA",Phoenix,AZ,"South Mountain Village",dining,ChIJRx-B1X4PK4cR34zpKvlJ9OY,,
"Ahuevo Cafe","9205 W Van Buren St, Tolleson, AZ 85353, USA",Tolleson,AZ,,dining,ChIJY4d68WI_K4cRUsEnYzVZGwM,,
Hiroshi,"328 Main St, Los Altos, CA 94022, USA","Los Altos",CA,"North Los Altos",dining,ChIJpdg90O-wj4ARHsvrk65jirE,,http://www.hiroshi328.com/
"APL BBQ","822 Washington Blvd, Venice, CA 90292, USA","Los Angeles",CA,Venice,dining,ChIJJTghA1jbwoAR7wIqBD1m7Lg,,
"Casa Vega","13301 Ventura Blvd, Sherman Oaks, CA 91423, USA","Los Angeles",CA,"Sherman Oaks",dining,ChIJv-IVTyeWwoARsFmBgl_RdX8,,
"Omelet House","66 El Camino Real, San Carlos, CA 94070, USA","San Diego",CA,,dining,ChIJdZoIwf-hj4ARpQPLV1DzsGM,,
"Omelette House","66 El Camino Real, San Carlos, CA 94070, USA","San Diego",CA,,dining,ChIJdZoIwf-hj4ARpQPLV1DzsGM,,
"TK's Surf and Turf","10890 E Dartmouth Ave #13, Denver, CO 80014, USA",Denver,CO,Southeast,dining,ChIJAeRMzcSHbIcRBE_LkS2gX2c,,https://www.tkssurfandturfkitchen.com/
"The Works","2625 Kipling St, Wheat Ridge, CO 80215, USA",Denver,CO,,dining,ChIJK8qxy0uHa4cRd05pyejJsqw,,https://thewerkscolorado.com/
"Frank Pepe Pizzeria","157 Wooster St, New Haven, CT 06511, USA","New Haven",CT,,dining,ChIJa0gEhDTY54kR-kUbCu9eH3k,,https://pepespizzeria.com/
"Sally's Apizza","237 Wooster St, New Haven, CT 06511, USA","New Haven",CT,,dining,ChIJTyJZBzXY54kRd4BObqE0oO0,,https://www.sallysapizza.com/
Kouzina,"223 Main St, Stamford, CT 06901, USA",Stamford,CT,,dining,ChIJGYtG-4yhwokRYR5VZ3IbXPY,,http://kouzinataverna.com/
"Shaking Crab","1255 Fordham Dr #120, Virginia Beach, VA 23464, USA",Washington,DC,,dining,ChIJMS5WKnS-uokRTag54QKJuJc,,https://shakingcrabtogo.com/
