name,city,state
"Piazza di Roma",Aberdeen,NJ
"Kelsey’s Soul Food AC","Atlantic City",NJ
"The Balcony","Atlantic City",NJ
"Feed Ya Soul",Avenel,NJ
Americano,Bayonne,NJ
"Ms Wandas",Bayonne,NJ
"Beyond Soul",Belleville,NJ
"Xaman Room Speakeasy",Belleville,NJ
CHEESSTEAKS,Belmar,NJ
"Kaya’s Kitchen",Belmar,NJ
"Casa de Flora Bar Luxury Cafe",Bloomfield,NJ
"Crabs on the Way",Bloomfield,NJ
"Grove Grill",Bloomfield,NJ
"The Grove Grill",Bloomfield,NJ
"Di Fara",Brick,NJ
"Sisters Spot",Brooklyn,NJ
"Soul Food NJ",Brooklyn,NJ
"best soul food spot",Brooklyn,NJ
"Bookers Lounge",Camden,NJ
Kheese,Camden,NJ
"Kings Men LLC",Camden,NJ
"Krack & Kheese",Camden,NJ
"Steven Soul Food",Camden,NJ
"Tony and Ruth's Steaks",Camden,NJ
"Monai soulfood",Carteret,NJ
"Monai's",Carteret,NJ
"Monai’s Soul Food Restaurant",Carteret,NJ
"Ou La",Carteret,NJ
"Amazin Taste","Central NJ",NJ
"Boiling House","Cherry Hill",NJ
"Crab Cakes","Cherry Hill",NJ
"New Restaurant","Cherry Hill",NJ
Shangri-La,"Cherry Hill",NJ
"Shangri-La Chill","Cherry Hill",NJ
Tuscana,"Cherry Hill",NJ
"bistro cherry hill","Cherry Hill",NJ
"Lumpy’s BBQ",Clementon,NJ
Bogeys,Clifton,NJ
"Bubamara Cafe",Clifton,NJ
"Cafe Bubamara",Clifton,NJ
"Damasco Cafe NJ",Clifton,NJ
"Damascus Cafe",Clifton,NJ
"La Bonita",Clifton,NJ
"Made in Miami",Clifton,NJ
"Tommy’s",Clifton,NJ
Yasmeen,Clifton,NJ
"exact venue name",Clifton,NJ
"The Deluxe Way",Cranford,NJ
"Dawson's Soul Food",Deptford,NJ
"Umi Deptford",Deptford,NJ
Umideptford,Deptford,NJ
"Los Bandoleros Tacos","East Brunswick",NJ
"O Cook Shop","East Orange",NJ
"Tasha’s Caribbean & Soul Food Cuisine","East Orange",NJ
"Tasha’s Carribean & Soul Food Cuisine","East Orange",NJ
Jarana,"East Rutherford",NJ
"Joe C's","East Rutherford",NJ
"Joe C’s","East Rutherford",NJ
Sakai,"East Rutherford",NJ
"Sports Bar","East Rutherford",NJ
"Don Coqui",Edgewater,NJ
"Life After Restaurant & Lounge",Edgewater,NJ
"Addy’s BBQ",Edison,NJ
"The Canvas & Grapes Experience",Edison,NJ
"Wus Fish House",Edison,NJ
"PIER 73 BAR & LOUNGE",Elizabeth,NJ
CALEDERA,Englewood,NJ
"CALEDERA at Vida Garden",Englewood,NJ
"Llama House",Englewood,NJ
"El Charro Costeño",Ewing,NJ
"The Big Easy",Ewing,NJ
"Otter Fine Sushi & Beyond","Fort Lee",NJ
Andaaz,"Franklin Park",NJ
Aarzu,Freehold,NJ
Charkol,Freehold,NJ
"Pastrami Grill Bistro",Garfield,NJ
"Maria Station Cafe","Gloucester City",NJ
"Paula's Soul Food Cafe",Hackensack,NJ
"Paula’s Soul Food",Hackensack,NJ
"Paula’s Soul Food Cafe",Hackensack,NJ
"Jersey Kebab","Haddon Township",NJ
"Rats Restaurant",Hamilton,NJ
"Henri's Hotts BBQ",Hammonton,NJ
"Boiler Room",Hoboken,NJ
Patricias,Holmdel,NJ
"Big G Jamaican",Irvington,NJ
"Bobby Wong’s",Irvington,NJ
"Chef Teekay",Irvington,NJ
Chefteekay,Irvington,NJ
Marlos,Irvington,NJ
Thumkaa,Jamesburg,NJ
"Carolyn’s Soul Food","Jersey City",NJ
"Halftime Grill","Jersey City",NJ
"Hudson & Co. Bar & Grill","Jersey City",NJ
Meximodo,"Jersey City",NJ
"NJ restaurant","Jersey City",NJ
"Rooftop at Exchange Place","Jersey City",NJ
"The Ashford","Jersey City",NJ
"one of my favorite NJ restaurants","Jersey City",NJ
"The Crabpae",Kenilworth,NJ
"Blended Flavors",Linden,NJ
"Don Tequila",Lindenwold,NJ
"Don Tequila Restaurant",Lindenwold,NJ
"Willy’s Munch Gourmet","Little Ferry",NJ
"A Mother's Touch",Livingston,NJ
"A Mothers Touch",Livingston,NJ
"A Mother’s Touch",Livingston,NJ
"Genova Pizza","Long Beach",NJ
"La Lupa",Manalapan,NJ
"Aura Lounge",Manhattan,NJ
"Best New Fried Chicken Restaurant",Manhattan,NJ
"Bogey's",Manhattan,NJ
"Buffalo’s",Manhattan,NJ
"Cubby’s 1 1/2",Manhattan,NJ
Eatatcooks.com,Manhattan,NJ
"Granny's Spot",Manhattan,NJ
"Granny’s Spot",Manhattan,NJ
"Rnb Brunch Sundays NJ",Manhattan,NJ
"Sticky Catfish",Manhattan,NJ
"The Girliest Cafe",Manhattan,NJ
"sisters spot",Manhattan,NJ
CRABBAE,Maplewood,NJ
"Sweet Chili Oxtails",Maplewood,NJ
"Spaghetti Eddie",Meadowlands,NJ
"The #1 cheese steak in south jersey",Merchantville,NJ
"Jasper Stone",Monroe,NJ
"Jasper Stone Italian Steakhouse","Monroe Township",NJ
"Luigino's Parmigiana",Montclair,NJ
Roosters,Montclair,NJ
"Seoul Bistro",Montclair,NJ
"The Union Firehouse","Mount Holly",NJ
Jerkies,NJ,NJ
Kpot,NJ,NJ
"Top Pot",NJ,NJ
"newest and best soul food",NJ,NJ
Sakana,"New Brunswick",NJ
"domi soul fusion","New Brunswick",NJ
"Great soul food spot","New Jersey",NJ
"NJ Pier 73","New Jersey",NJ
"Rnb Brunch Sundays","New Jersey",NJ
"Soul Food in New Jersey","New Jersey",NJ
"best Healthy Restaurant","New Jersey",NJ
"47 Edison Pl",Newark,NJ
"Beyond Soul Food",Newark,NJ
"Beyond Soul Restaurant",Newark,NJ
"Blueberry Café",Newark,NJ
"City Lounge",Newark,NJ
"Ikoyi Restaurant and Lounge",Newark,NJ
"Madre & Son Soulfood Cafe",Newark,NJ
"Madre & Son Soulfood Café",Newark,NJ
"Neighborhood Favorites",Newark,NJ
"OMG Resteraunt",Newark,NJ
"The Good Eats Experience",Newark,NJ
"The Patio on Sussex",Newark,NJ
"The Yard",Newark,NJ
"Town Bar + Kitchen",Newark,NJ
citylounge,Newark,NJ
"southern restaurant",Newark,NJ
"Blazin Chicken & Gyro","North Bergen",NJ
Sandwichitos,"North Bergen",NJ
Kanoon,"North Brunswick",NJ
"ORA FreeStyle Italian",Oradell,NJ
Ora,Oradell,NJ
