name,city,state
"Alam Restaurant",Birmingham,AL
"Lin's Grand Buffet",Phoenix,AZ
"Ahuevo Cafe",Tolleson,AZ
Hiroshi,"Los Altos",CA
"APL BBQ","Los Angeles",CA
"Casa Vega","Los Angeles",CA
"Omelet House","San Diego",CA
"Omelette House","San Diego",CA
"TK's Surf and Turf",Denver,CO
"The Works",Denver,CO
"Frank Pepe Pizzeria","New Haven",CT
"Sally's Apizza","New Haven",CT
Kouzina,Stamford,CT
"Shaking Crab",Washington,DC
"Italian restaurant","Washington, DC",DC
drift,"Hutchinson Island",FL
"Kaikai Farm",Indiantown,FL
"Ball and Chain","Little Havana",FL
"Café Bastille",Miami,FL
"Tropezón",Miami,FL
Macchialina,"Miami Beach",FL
"Strawberry Moon","Miami Beach",FL
"Lovely’s","Miami Gardens",FL
"Twenty Pho Hour",Orlando,FL
"Moe's",Atlanta,GA
"Paradox Lounge",Atlanta,GA
"International Kabab House","Stone Mountain",GA
"Black Shamrock Tavern",Honolulu,HI
"Ground Level Lounge",Honolulu,HI
"HANGRY CLUCK",Chicago,IL
Prova,Chicago,IL
"Osteria Francescana",Modena,Italy
"Shirafù Kirchberg",Luxembourg,L-2721
"Pauli’s",Boston,MA
"Student Prince",Springfield,MA
MDRD,"Grand Rapids",MI
"Hookah Lounge","St. Louis",MO
"3BK Dubai",Dubai,N/A
"やおきパン",Fukuoka,N/A
"やぐら",Fukuoka,N/A
"今屋のハンバーガー",Fukuoka,N/A
"Bob’s Diner","Mexico City",N/A
"Cardinal Casa de Café","Mexico City",N/A
"Citizen Rooftop","Mexico City",N/A
"Expendio de Maíz","Mexico City",N/A
"Handshake Speakeasy","Mexico City",N/A
"La Gruta","Mexico City",N/A
"Panadería Rosetta","Mexico City",N/A
"Tacos El Don","Mexico City",N/A
"Piazza di Roma",Aberdeen,NJ
"Limoncello at Piazza di Roma","Aberdeen Township",NJ
"Heirloom Kitchen","Asbury Park",NJ
"The Saint Laurent Social Club","Asbury Park",NJ
"Habeebi’s Soul Food","Atlantic City",NJ
"Kelsey’s Soul Food AC","Atlantic City",NJ
"The Balcony","Atlantic City",NJ
"Feed Ya Soul",Avenel,NJ
"Hills of Herat","Basking Ridge",NJ
"American On J",Bayonne,NJ
Americano,Bayonne,NJ
"Ms Wandas",Bayonne,NJ
"Beyond Soul",Belleville,NJ
"Xaman Room Speakeasy",Belleville,NJ
CHEESSTEAKS,Belmar,NJ
DJais,Belmar,NJ
"Kaya’s Kitchen",Belmar,NJ
"Pink Cabana",Belmar,NJ
"Blue Steel Pizza Company",Bloomfield,NJ
"Casa de Flora Bar Luxury Cafe",Bloomfield,NJ
"Crabs on the Way",Bloomfield,NJ
"Grove Grill",Bloomfield,NJ
"The Grove Grill",Bloomfield,NJ
"Di Fara",Brick,NJ
"Cheese Plate Queen",Brooklyn,NJ
"Leah's Cucina",Brooklyn,NJ
