id,name,category,website,city,address
10890,"Prime Lounge",lounge,"",Philadelphia,
10893,"Pyramid Club",restaurant,https://www.invitedclubs.com/clubs/pyramid-club,Philadelphia,
10895,"Silk City",restaurant,http://www.silkcityphilly.com/,Philadelphia,
10898,"Butcher Bar",restaurant,http://butcherbarphilly.com/,Philadelphia,
10899,"Harp & Crown",restaurant,https://harpcrown.com/,Philadelphia,
10907,"Bank & Bourbon",restaurant,https://www.bankandbourbon.com/,Philadelphia,
10911,"Strangelove's",restaurant,http://strangelovesbeerbar.com/,Philadelphia,
10912,"Good Dog Bar",restaurant,http://www.gooddogbar.com/,Philadelphia,
10913,"The Love.",restaurant,https://theloverestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
10914,"The Library Bar",lounge,https://www.rittenhousehotel.com/dining/librarybar,Philadelphia,
10919,"The Dandelion",restaurant,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
10927,a.kitchen+bar,restaurant,http://www.akitchenandbar.com/,Philadelphia,
10931,"Orient Hookah Lounge",lounge,http://www.orientphilly.com/,Philadelphia,
10935,"LUXOR CAFE & HOOKAH LOUNGE",lounge,"",Philadelphia,
10940,"The Crown Hookah Lounge",lounge,"",Philadelphia,
10941,"Vira Hookah Lounge",lounge,"",Philadelphia,
10942,"Alamodak Restaurant and Hookah bar",restaurant,https://www.alamodakrestauranthookahbar.com/?utm_source=gbp,Philadelphia,
10944,"Prime Fusion Afro Grill & Lounge",lounge,https://primefusionlounge.com/,Philadelphia,
10945,Dahlak,restaurant,http://www.dahlakrestaurant.com/,Philadelphia,
10946,"Dalida hookah lounge",lounge,"",Philadelphia,
10949,"The Centurion Lounge",lounge,"",Philadelphia,
10950,"Attico Rooftop",restaurant,http://www.atticorooftop.com/,Philadelphia,
10954,"Reef Restaurant & Lounge",restaurant,http://phillyreef.com/,Philadelphia,
10955,"Chase Sapphire Lounge by The Club Philadelphia",lounge,http://chase.com/sapphireairportlounge?y_source=1_MTA5NzgwNDc2MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Philadelphia,
10956,Skyhigh,restaurant,https://www.skyhighphiladelphia.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-fab-mid-seo-na&utm_content=na-na&utm_term=na,Philadelphia,
10957,"The Continental Mid-town",restaurant,https://continentalmidtown.com/?utm_source=GoogleBusinessProfiles&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
10958,"The Deck Philly",restaurant,http://www.thedeckphilly.com/,Philadelphia,
10959,"Harper's Garden",restaurant,http://harpersgardenphilly.com/,Philadelphia,
10960,"El Techo",restaurant,http://condesaphilly.com/el-techo/,Philadelphia,
10961,"Revolution House",restaurant,http://www.revolutionhouse.com/,Philadelphia,
10962,"Standard Tap",restaurant,http://www.standardtap.com/,Philadelphia,
10963,"Topside Tavern",restaurant,http://www.topsidetavern.com/,Philadelphia,
10964,"Jean-Georges Philadelphia",restaurant,https://www.jean-georgesphiladelphia.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-phi-fab-mid-seo-na&utm_content=na-na&utm_term=na,Philadelphia,
10965,Lark,restaurant,http://www.larkpa.com/,Philadelphia,
10966,"Emmy Squared Pizza: Queen Village",restaurant,https://www.emmysquaredpizza.com/location/queen-village-philadelphia-pa/,Philadelphia,
10976,"SOUTH Restaurant & Jazz Club",restaurant,https://www.southjazzkitchen.com/,Philadelphia,
10983,"The Twisted Tail",restaurant,https://thetwistedtail.com/,Philadelphia,
10987,"Talula's Garden",restaurant,http://www.talulasgarden.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,Philadelphia,
10988,Parc,restaurant,https://parc-restaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
10989,"Little Nonna's",restaurant,http://littlenonnas.com/,Philadelphia,
10990,"Butcher and Singer",restaurant,https://butcherandsinger.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
10991,"Grandma's Philly",restaurant,http://www.grandmasphilly.com/,Philadelphia,
10992,"Bud & Marilyn's",restaurant,http://budandmarilyns.com/,Philadelphia,
10993,"Square 1682",restaurant,https://www.square1682.com/,Philadelphia,
10994,Zahav,restaurant,http://www.zahavrestaurant.com/,Philadelphia,
10995,Fork,restaurant,http://www.forkrestaurant.com/,Philadelphia,
10996,"Darling Jack's Tavern",restaurant,http://www.darlingjacks.com/,Philadelphia,
10997,"Osteria Ama Philly",restaurant,http://osteriaama-philly.com/,Philadelphia,
10998,"Cuba Libre Restaurant & Rum Bar",restaurant,https://cubalibrerestaurant.com/en/philadelphia,Philadelphia,
10999,"Estia Restaurant",restaurant,http://www.estiarestaurant.com/,Philadelphia,
11000,"Del Frisco's Double Eagle Steakhouse",restaurant,https://www.delfriscos.com/location/del-friscos-double-eagle-steakhouse-philadelphia-pa/,Philadelphia,
11001,"Barclay Prime",restaurant,http://www.barclayprime.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11002,"Vetri Cucina",restaurant,http://www.vetricucina.com/,Philadelphia,
11003,Provenance,restaurant,https://provenancephl.com/,Philadelphia,
11004,Wilder,restaurant,https://wilderphilly.com/,Philadelphia,
11005,"Alpen Rose",restaurant,https://www.alpenrosephl.com/,Philadelphia,
11006,"Lacroix Restaurant at The Rittenhouse",restaurant,https://www.lacroixrestaurant.com/,Philadelphia,
11007,Morimoto,restaurant,https://morimotorestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11008,"Ambra Restaurant",restaurant,http://ambraphilly.com/,Philadelphia,
11009,"Vernick Food & Drink",restaurant,https://www.vernickphilly.com/vernick-food-and-drink,Philadelphia,
11010,"The Capital Grille",restaurant,https://www.thecapitalgrille.com/locations/pa/philadelphia/philadelphia/8013?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:philadelphia-pa-8013_pl:locurl_rd:1010,Philadelphia,
11011,"Saloon Restaurant",restaurant,https://www.saloonrestaurant.net/,Philadelphia,
11012,"Ocean Prime",restaurant,https://www.ocean-prime.com/locations-menus/philadelphia,Philadelphia,
11013,"Friday Saturday Sunday",restaurant,http://fridaysaturdaysunday.com/,Philadelphia,
11014,"Eddie V's Prime Seafood",restaurant,https://www.eddiev.com/locations/pa/king-of-prussia/king-of-prussia/8522?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:king-of-prussia-pa-8522_pl:locurl_rd:1021,Philadelphia,
11015,Panorama,restaurant,https://www.panoramawinebar.com/,Philadelphia,
11016,"Her Place Supper Club",restaurant,http://www.herplacephilly.com/,Philadelphia,
11017,Osteria,restaurant,https://www.osteriaphilly.com/,Philadelphia,
11018,"The Victor Café",restaurant,http://victorcafe.com/,Philadelphia,
11019,"Fiorella Pasta",restaurant,https://fiorellaphilly.com/,Philadelphia,
11020,"Villa di Roma",restaurant,http://www.villadiroma.com/,Philadelphia,
11021,"Giorgio On Pine",restaurant,https://www.giorgio-on-pine.com/,Philadelphia,
11022,"La Nonna",restaurant,http://ristorantelanonna.com/,Philadelphia,
11023,"Dante & Luigi's",restaurant,http://www.danteandluigis.com/,Philadelphia,
11024,"Bistro Romano",restaurant,http://www.bistroromano.com/,Philadelphia,
11025,"Le Virtù",restaurant,http://www.levirtu.com/,Philadelphia,
11026,"Ralph's Italian Restaurant",restaurant,http://www.ralphsrestaurant.com/,Philadelphia,
11027,"Palizzi Social Club",restaurant,https://palizzisocial.com/,Philadelphia,
11028,Bellini,restaurant,https://belliniphiladelphia.com/,Philadelphia,
11029,"Spasso Italian Grill",restaurant,http://www.spassoitaliangrill.com/,Philadelphia,
