id,name,category,city,address
11415,"154 Scott Ave",nightclub,"New York","154 Scott Ave, Brooklyn, NY 11237"
11416,"20 Church St",nightclub,"New York","20 Church St, Jamaica, NY 11414"
11417,"200 Central Park S",nightclub,"New York","200 Central Park S, New York, NY 10019"
11418,"315 Meserole",nightclub,"New York","315 Meserole St, Brooklyn, NY 11206"
11419,"434 E 9th St",nightclub,"New York","434 E 9th St, New York, NY 10009"
11420,"58 Avenue A",nightclub,"New York","58 Avenue A, New York, NY 10009"
11421,"5th & Mad",nightclub,"New York","Jonestown, TX 78645"
11422,"617 W 46th St",nightclub,"New York","617 W 46th St, New York, NY 10036"
11423,"64-02 Myrtle Ave",nightclub,"New York","64-02 Myrtle Ave, Flushing, NY 11385"
11424,"65 Kent Ave, Brooklyn, NY 11249, USA",nightclub,"New York","65 Kent Ave, Brooklyn, NY 11249"
11288,"99 Scott Ave",nightclub,"New York","99 Scott Ave, Brooklyn, NY 11237"
11429,"After Party",nightclub,"New York","299 Vandervoort Ave, Brooklyn, NY 11211"
11437,"Atlantic Avenue Brooklyn NY",nightclub,"New York","New York, NY"
11442,"B New York New York United States",nightclub,"New York","New York, NY 10009"
11446,"Bar Sprezzatura
Ring",nightclub,"New York",
11447,Barcelona,nightclub,"New York","Westfield, NY 14787"
11454,"Boardroom Bar NYC",nightclub,"New York",
11458,"Bolo Bolo Café & Bakery",nightclub,"New York","364 Richmond St W, Toronto, ON M5V 1X6, Canada"
11342,Bounce,nightclub,"New York",
11465,"Bravos lounge",nightclub,"New York","261 Dyckman St, New York, NY 10034"
11468,"Brooklyn NY
Age",live_music,"New York",
11471,"Bryant Park Hotel
Sunday",nightclub,"New York",
11474,"CIVILIAN Hotel
Featuring Starchild Rooftop",nightclub,"New York",
11475,"Cabanas at the Maritime",nightclub,"New York","3700 Surf Ave, Brooklyn, NY 11224"
11476,"Cafè Lakay",nightclub,"New York","3323 Avenue I, Brooklyn, NY 11210"
11480,"Casa Bocado",nightclub,"New York","341 Broome St, New York, NY 10013"
11487,Cielo,nightclub,"New York","14 Little W 12th St, New York, NY 10014"
11352,"Cin Cin Lounge
Ring",nightclub,"New York",
11490,"Civilian Hotel
Ring",nightclub,"New York",
11494,"Common Country
Midnight",live_music,"New York",
11495,"Common Ground After Party",nightclub,"New York",
11496,"Concert Grove Pavilion, Prospect Park",nightclub,"New York","153 East Dr, Brooklyn, NY 11225"
11356,Delilah,live_music,"New York","155 Rivington St, New York, NY 10002"
11504,"Desert 5 Spot NY",nightclub,"New York",
11509,"El Nico Rooftop by The Penny Williamsburg",nightclub,"New York",
